"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BKG","BAL","BAL","UA","BKG","BAL","UA","BKG","BAL","UA","BKG","BAL","UA","BKG","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BKG","BAL","UA","BKG","BAL","BAL","UA","BKG","BAL","BAL","UA","BKG","BAL","UA","BKG","BAL"
"map00010.Glycolysis...Gluconeogenesis","    1275","   93431","     590","      87","     669","   27948","     266","    1089","   89779","   35156","    2774","    1456","     587","     159","     613","     278","     174","     636","     380","     116","     117","     950","      85","     820","     552","  540209","     577","     602","    3613","  330531","   33649","     263","  391896","   74374","     129","  464796","   36047","     417","  492823","   18500","     153","      52","    1853","   11349","    2043","     416","     193","     227","   17878","     551","    1109","    2253","     408","     837","     331","    1790","   17446","    1178","     695","    1353","     100","   15465","     270","   79482","   24096","     171","11709957","   35367","     153","     262","97046875","   84262","     327","     389","10799831","   33473","     217","  254487","  203653","      49"
"map00071.Fatty.acid.degradation","     639","   24319","     122","      31","     427","   14189","     126","     220","   17592","    6004","    1405","     799","     317","      63","     225","     189","     118","     334","     261","      54","      56","     311","      41","     408","     151","  108653","     293","     280","    1190","   83162","   20861","      96","   85533","   34554","      67","  103820","   19086","     186","   71468","    5913","      66","      24","     428","    5243","     808","     214","     101","     122","    8366","     263","     706","     985","     213","     396","     189","    1236","    7933","     273","     411","     360","      61","    2144","     142","   22263","   10966","      81"," 1981156","   16839","      59","     120","13231861","   41803","     160","     206"," 1932580","   17281","      98","  114825","  103112","      26"
"map00350.Tyrosine.metabolism","    336","  13878","     69","     17","    159","   6612","     67","    122","  12215","   4676","    705","    355","    142","     51","    126","     80","     33","    168","    105","     28","     18","    216","     27","    163","     73"," 126847","    145","    117","    525","  43603","   8435","     46","  54882","  17480","     50","  68811","   9109","    103","  49462","   3017","     25","     11","    281","   2592","    366","    110","     60","     45","   3802","     80","    287","    459","     98","    212","     88","    559","   4047","    103","    157","    203","     20","   1691","     58","  14378","   5458","     41","1553955","   8251","     36","     61","9607989","  19970","     83","    100","1059486","   8671","     37","  58808","  49853","     11"
"map00620.Pyruvate.metabolism","    1513","   95615","     630","      85","     844","   33562","     283","    1072","   96531","   36686","    3409","    1765","     766","     184","     731","     368","     276","     802","     521","     161","     119","     990","      98","    1020","     544","  577696","     708","     771","    3992","  353910","   41909","     308","  431484","   87642","     180","  505572","   43719","     481","  506647","   20730","     175","      51","    1906","   13673","    2450","     474","     251","     288","   21058","     599","    1361","    2638","     485","     924","     418","    2251","   20212","    1243","     862","    1497","     121","   15554","     326","   96221","   28405","     221","12396273","   41777","     178","     312","97511533","  100266","     387","     472","11476178","   39725","     235","  299586","  242591","      57"
"map00625.Chloroalkane.and.chloroalkene.degradation","    149","   7119","     37","      6","     66","   3181","     28","     59","   6891","   2998","    445","    190","     66","     20","     44","     41","     20","     79","     44","     17","     22","    134","     14","     84","     30","  83713","     83","     78","    268","  19098","   3987","     28","  28552","   7215","      8","  40547","   4022","     46","  24593","   1581","     19","      9","    188","   1365","    244","     47","     18","     26","   1795","     50","    134","    267","     59","    103","     45","    260","   1695","     54","     61","    159","     14","    962","     30","   7433","   2397","     22"," 735453","   3404","     19","     22","4318517","   8318","     50","     41"," 570828","   3650","     22","  28173","  21483","      9"
"map00626.Naphthalene.degradation","     91","   4681","     20","      0","     31","   1282","     17","     34","   4954","   2456","    287","     75","     13","     10","     25","     21","      8","     34","     16","      4","      6","    107","      5","     32","     15","  80905","     30","     21","    136","  11258","   1322","      8","  16462","   2207","      8","  30146","   1493","     20","  15629","    588","     10","      2","    146","    603","    131","     24","     10","     13","    842","     14","     47","    141","     30","     48","     23","    100","    547","     35","     24","    134","      5","    719","      8","   5332","    865","      4"," 524358","   1088","      5","      2","2474183","   2578","     12","     16"," 437685","   1421","      6","  12471","   6628","      2"
"map00830.Retinol.metabolism","     69","   3048","     26","      0","     28","   1008","     16","     33","   2684","   1120","    149","     49","     11","     10","     19","     19","      4","     27","     16","      2","      4","     38","      5","     39","      7","  36510","     21","     14","    106","  12357","    966","      5","  10906","   1486","      4","  12246","    964","     13","  13362","    687","      6","      0","     57","    356","     67","     16","      8","     10","    657","     15","     35","     96","     23","     33","     13","     77","    369","     34","     18","     30","      3","    343","      7","   3054","    593","      4"," 397637","    753","      2","      3","3508734","   1790","     14","      5"," 251592","   1008","      5","   6653","   4686","      0"
"map00980.Metabolism.of.xenobiotics.by.cytochrome.P450","    84","  2828","    17","     4","    64","  1692","    16","    22","  2135","   915","   275","   116","    34","    16","    41","    36","    16","    48","    21","     2","     6","    49","     5","    39","    13"," 34264","    26","    20","   120","  5969","  1720","    11","  8359","  2867","     6"," 14195","  1760","    16","  5184","   759","    12","     0","    59","   644","    88","    41","    14","    19","  1022","    30","    71","   184","    36","    55","    26","   205","   616","    53","    43","    37","     4","   278","     9","  3870","  1079","    11","218505","  1289","     4","     2","796126","  3507","    29","    12","209510","  1697","     6"," 10651","  8545","     3"
"map00982.Drug.metabolism...cytochrome.P450","   110","  3042","    18","     4","    71","  1831","    20","    26","  2162","   917","   293","   119","    36","    16","    51","    36","    14","    48","    25","     3","     6","    49","     5","    47","    13"," 34289","    28","    23","   120","  6164","  1820","    13","  8508","  2992","     8"," 14320","  1846","    16","  5278","   848","    15","     0","    61","   695","    99","    51","    14","    19","  1142","    30","    75","   187","    39","    55","    30","   224","   638","    57","    45","    37","     4","   278","     9","  3909","  1117","    11","219265","  1377","     4","     2","796455","  3692","    29","    12","209666","  1797","     6"," 11159","  9046","     3"
